Equipment_ID,Date,Downtime_Reason,Downtime_Duration_min
EQ-1000,2025-05-19,Mechanical Failure,65
EQ-1000,2025-02-06,Tool Change,19
EQ-1000,2025-06-20,Electrical Fault,23
EQ-1000,2025-05-24,Quality Check,53
EQ-1000,2025-05-07,Electrical Fault,41
EQ-1000,2025-05-14,Mechanical Failure,58
EQ-1000,2025-04-13,Electrical Fault,43
EQ-1000,2025-02-02,Quality Check,93
EQ-1000,2025-05-01,Tool Change,74
EQ-1001,2025-02-21,Operator Break,55
EQ-1001,2025-03-30,Electrical Fault,115
EQ-1001,2025-04-28,Electrical Fault,46
EQ-1001,2025-05-21,Mechanical Failure,22
EQ-1001,2025-01-24,Tool Change,46
EQ-1001,2025-05-29,Quality Check,69
EQ-1001,2025-05-31,Material Shortage,47
EQ-1001,2025-01-07,Tool Change,96
EQ-1001,2025-01-26,Operator Break,29
EQ-1001,2025-06-07,Tool Change,118
EQ-1001,2025-01-15,Quality Check,67
EQ-1001,2025-04-14,Quality Check,98
EQ-1001,2025-04-10,Material Shortage,36
EQ-1001,2025-06-17,Quality Check,44
EQ-1001,2025-02-11,Mechanical Failure,51
EQ-1001,2025-03-14,Material Shortage,44
EQ-1001,2025-04-01,Tool Change,84
EQ-1001,2025-01-31,Operator Break,77
EQ-1002,2025-06-28,Tool Change,56
EQ-1002,2025-06-24,Electrical Fault,64
EQ-1002,2025-05-23,Material Shortage,36
EQ-1002,2025-04-11,Material Shortage,99
EQ-1002,2025-03-02,Tool Change,31
EQ-1002,2025-06-22,Operator Break,94
EQ-1002,2025-01-10,Tool Change,107
EQ-1002,2025-04-03,Quality Check,54
EQ-1002,2025-02-23,Electrical Fault,92
EQ-1003,2025-04-19,Tool Change,40
EQ-1003,2025-06-26,Electrical Fault,97
EQ-1003,2025-04-09,Mechanical Failure,78
EQ-1003,2025-01-14,Quality Check,54
EQ-1003,2025-03-31,Operator Break,40
EQ-1003,2025-03-10,Mechanical Failure,79
EQ-1003,2025-01-07,Operator Break,49
EQ-1003,2025-05-02,Quality Check,75
EQ-1003,2025-06-29,Tool Change,106
EQ-1003,2025-01-02,Tool Change,87
EQ-1003,2025-01-04,Material Shortage,49
EQ-1003,2025-06-12,Material Shortage,107
EQ-1003,2025-04-25,Quality Check,64
EQ-1003,2025-04-04,Mechanical Failure,36
EQ-1003,2025-01-31,Operator Break,42
EQ-1003,2025-06-28,Electrical Fault,61
EQ-1003,2025-05-20,Operator Break,92
EQ-1003,2025-05-14,Mechanical Failure,11
EQ-1004,2025-01-25,Quality Check,39
EQ-1004,2025-01-28,Operator Break,31
EQ-1004,2025-01-26,Operator Break,55
EQ-1004,2025-06-07,Electrical Fault,81
EQ-1004,2025-06-04,Operator Break,30
EQ-1004,2025-03-17,Operator Break,88
EQ-1004,2025-02-07,Tool Change,57
EQ-1004,2025-02-21,Mechanical Failure,81
EQ-1004,2025-03-23,Quality Check,23
EQ-1004,2025-05-25,Mechanical Failure,24
EQ-1004,2025-06-14,Mechanical Failure,16
EQ-1004,2025-04-14,Operator Break,60
EQ-1004,2025-03-07,Mechanical Failure,14
EQ-1004,2025-02-02,Mechanical Failure,52
EQ-1004,2025-06-01,Material Shortage,93
EQ-1004,2025-02-20,Material Shortage,104
EQ-1004,2025-03-22,Operator Break,73
EQ-1005,2025-04-03,Quality Check,75
EQ-1005,2025-04-20,Electrical Fault,39
EQ-1005,2025-05-05,Tool Change,37
EQ-1005,2025-06-29,Operator Break,88
EQ-1005,2025-05-16,Material Shortage,37
EQ-1006,2025-06-27,Electrical Fault,10
EQ-1006,2025-04-06,Electrical Fault,66
EQ-1006,2025-05-24,Mechanical Failure,108
EQ-1006,2025-01-22,Tool Change,97
EQ-1006,2025-03-04,Tool Change,30
EQ-1007,2025-03-28,Quality Check,10
EQ-1007,2025-01-07,Electrical Fault,76
EQ-1007,2025-01-02,Electrical Fault,102
EQ-1007,2025-02-05,Operator Break,91
EQ-1007,2025-04-13,Tool Change,35
EQ-1007,2025-03-14,Tool Change,92
EQ-1007,2025-03-20,Tool Change,117
EQ-1007,2025-02-10,Mechanical Failure,64
EQ-1007,2025-03-21,Tool Change,60
EQ-1007,2025-04-16,Operator Break,26
EQ-1007,2025-02-12,Material Shortage,64
EQ-1007,2025-05-30,Mechanical Failure,98
EQ-1008,2025-04-17,Mechanical Failure,87
EQ-1008,2025-01-12,Operator Break,17
EQ-1008,2025-06-11,Tool Change,114
EQ-1008,2025-05-19,Electrical Fault,76
EQ-1008,2025-04-14,Mechanical Failure,15
EQ-1008,2025-05-30,Electrical Fault,83
EQ-1008,2025-06-10,Operator Break,61
EQ-1009,2025-03-21,Mechanical Failure,51
EQ-1009,2025-05-07,Operator Break,86
EQ-1009,2025-06-29,Operator Break,44
EQ-1009,2025-06-10,Quality Check,50
EQ-1009,2025-04-18,Mechanical Failure,32
EQ-1009,2025-03-14,Operator Break,31
