Equipment_ID,Date,Planned_Production_Time_min,Run_Time_min,Ideal_Cycle_Time_min,Total_Count,Good_Count
EQ-1000,2025-01-01,480,438,1.06,342,328
EQ-1000,2025-01-02,480,423,1.35,270,264
EQ-1000,2025-01-03,480,457,0.91,324,314
EQ-1000,2025-01-04,480,478,1.03,353,346
EQ-1000,2025-01-05,480,437,0.81,251,244
EQ-1000,2025-01-06,480,460,1.46,379,368
EQ-1000,2025-01-07,480,437,1.23,307,302
EQ-1000,2025-01-08,480,439,0.82,308,294
EQ-1000,2025-01-09,480,434,0.83,264,251
EQ-1000,2025-01-10,480,429,1.23,357,351
EQ-1000,2025-01-11,480,430,1.21,380,376
EQ-1000,2025-01-12,480,463,1.28,322,316
EQ-1000,2025-01-13,480,431,1.46,309,296
EQ-1000,2025-01-14,480,479,1.07,339,335
EQ-1000,2025-01-15,480,474,1.28,360,349
EQ-1000,2025-01-16,480,446,1.23,257,243
EQ-1000,2025-01-17,480,477,1.44,299,292
EQ-1000,2025-01-18,480,439,1.02,383,378
EQ-1000,2025-01-19,480,437,1.2,395,386
EQ-1000,2025-01-20,480,433,1.46,263,249
EQ-1000,2025-01-21,480,465,1.03,289,285
EQ-1000,2025-01-22,480,457,1.32,360,356
EQ-1000,2025-01-23,480,440,1.05,373,361
EQ-1000,2025-01-24,480,456,1.01,294,294
EQ-1000,2025-01-25,480,437,1.49,337,337
EQ-1000,2025-01-26,480,430,1.01,312,302
EQ-1000,2025-01-27,480,476,1.29,282,272
EQ-1000,2025-01-28,480,474,1.45,290,279
EQ-1000,2025-01-29,480,448,1.4,261,260
EQ-1000,2025-01-30,480,444,0.84,311,304
EQ-1000,2025-01-31,480,454,1.31,353,348
EQ-1000,2025-02-01,480,467,1.19,350,336
EQ-1000,2025-02-02,480,426,1.39,254,245
EQ-1000,2025-02-03,480,472,1.34,352,342
EQ-1000,2025-02-04,480,421,1.3,339,330
EQ-1000,2025-02-05,480,432,0.88,312,306
EQ-1000,2025-02-06,480,451,1.02,345,342
EQ-1000,2025-02-07,480,452,0.9,392,382
EQ-1000,2025-02-08,480,430,0.96,320,310
EQ-1000,2025-02-09,480,436,0.91,315,306
EQ-1000,2025-02-10,480,453,1.01,383,372
EQ-1000,2025-02-11,480,470,0.95,333,320
EQ-1000,2025-02-12,480,442,1.03,341,333
EQ-1000,2025-02-13,480,454,1.43,378,370
EQ-1000,2025-02-14,480,440,1.1,365,353
EQ-1000,2025-02-15,480,444,1.01,386,373
EQ-1000,2025-02-16,480,449,1.28,308,303
EQ-1000,2025-02-17,480,432,1.16,362,349
EQ-1000,2025-02-18,480,442,0.98,261,248
